311,1327,245
312,1408,351
313,1484,479
314,1552,629
315,1613,799
316,1664,979
317,1701,1165
318,1728,1355
319,1740,1545
320,1741,1725
321,1725,1893
322,1700,2047
323,1653,2169
324,1599,2271
325,1535,2345
326,1467,2395
327,1390,2409
328,1322,2407
329,1223,2343
330,1142,2267
331,1065,2163
332,987,2029
333,918,1877
334,864,1711
335,820,1535
336,784,1347
337,759,1153
338,750,965
339,752,783
340,771,617
341,803,469
342,842,337
343,897,237
344,960,165
345,1028,121
346,1105,111
347,1190,139
348,1265,183
349,1350,271
350,1431,383
351,1502,515
352,1568,671
353,1630,847
354,1675,1027
355,1710,1217
356,1734,1407
357,1744,1595
358,1734,1767
359,1718,1933
360,1687,2079
361,1639,2197
362,1583,2293
363,1519,2363
364,1448,2403
365,1369,2409
366,1290,2387
367,1201,2325
368,1119,2239
369,1042,2129
370,970,1993
371,906,1837
372,859,1675
373,808,1485
374,771,1291
375,755,1103
376,750,917
377,753,735
378,779,577
379,814,433
380,855,309
381,912,217
382,977,151
383,1046,115
384,1124,113
385,1210,149
386,1292,209
387,1371,297
388,1448,415
389,1523,559
390,1583,715
391,1643,895
392,1687,1077
393,1720,1271
394,1739,1461
395,1743,1641
396,1734,1815
397,1712,1973
398,1676,2113
399,1629,2229
400,1570,2319
401,1503,2379
402,1425,2405
403,1347,2405
404,1267,2377
405,1181,2307
406,1102,2217
407,1025,2099
408,953,1955
409,893,1797
410,842,1623
411,798,1435
412,768,1243
413,754,1057
414,749,869
415,763,697
416,795,545
417,825,401
418,873,287
419,928,197
420,997,141
421,1071,115
422,1150,121
423,1232,163
424,1312,227
425,1394,327
426,1471,451
427,1536,593
428,1602,761
429,1658,943
430,1698,1127
431,1726,1319
432,1738,1503
433,1742,1685
434,1730,1857
435,1709,2017
436,1664,2143
437,1616,2255
438,1555,2337
439,1484,2387
440,1406,2407
441,1326,2397
442,1244,2357
443,1160,2285
444,1081,2185
445,1006,2061
446,932,1907
447,875,1745
448,826,1569
449,792,1385
450,764,1191
451,752,1003
452,755,823
453,768,651
454,794,495
455,835,363
456,885,257
457,948,179
458,1016,129
459,1093,115
460,1174,131
461,1252,175
462,1334,249
463,1411,353
464,1492,489
465,1557,639
466,1618,809
467,1669,991
468,1705,1175
469,1731,1367
470,1743,1555
471,1735,1727
472,1725,1901
473,1697,2051
474,1651,2173
475,1598,2277
476,1532,2349
477,1462,2395
478,1385,2407
479,1304,2391
480,1220,2341
481,1140,2261
482,1057,2153
483,984,2021
484,918,1869
485,866,1707
486,817,1523
487,782,1335
488,759,1141
489,751,955
490,754,775
491,772,607
492,806,461
493,847,333
494,900,233
495,964,163
496,1034,121
497,1109,111
498,1192,137
499,1274,193
500,1360,281
501,1434,389
502,1508,525
503,1574,683
504,1632,855
505,1679,1039
506,1714,1229
507,1734,1417
508,1745,1605
509,1739,1781
510,1717,1941
511,1684,2085
512,1637,2205
513,1580,2297
514,1516,2367
515,1444,2403
516,1364,2407
517,1284,2385
518,1198,2323
519,1116,2237
520,1038,2121
521,965,1983
522,901,1827
523,853,1661
524,805,1473
525,774,1285
526,752,1091
527,749,907
528,761,733
529,787,575
530,816,427
531,860,305
532,915,211
533,981,149
534,1054,115
535,1131,115
536,1213,149
537,1296,211
538,1376,303
539,1453,421
540,1525,563
541,1588,725
542,1643,901
543,1689,1089
544,1720,1277
545,1739,1469
546,1744,1651
547,1732,1823
548,1714,1985
549,1672,2117
550,1624,2233
551,1565,2319
552,1495,2375
553,1423,2407
554,1340,2399
555,1258,2367
556,1173,2299
557,1097,2211
558,1017,2085
559,951,1947
560,888,1783
561,835,1607
562,793,1419
563,765,1231
564,750,1041
565,749,857
566,759,681
567,789,529
568,828,393
569,872,277
570,930,189
571,998,135
572,1073,111
573,1158,127
574,1232,161
575,1315,231
576,1395,331
577,1471,455
578,1541,605
579,1604,773
580,1656,949
581,1695,1135
582,1725,1327
583,1740,1517
584,1740,1697
585,1725,1865
586,1698,2017
587,1660,2151
588,1608,2257
589,1547,2339
590,1478,2391
591,1399,2407
592,1315,2391
593,1237,2355
594,1153,2279
595,1073,2177
596,998,2051
597,930,1903
598,870,1737
599,820,1559
600,784,1371
601,759,1179
602,750,993
603,756,817
604,766,641
605,795,489
606,835,357
607,884,249
608,952,179
609,1018,127
610,1090,109
611,1171,127
612,1255,179
613,1338,257
614,1413,359
615,1489,493
616,1558,647
617,1616,815
618,1665,997
619,1705,1189
620,1727,1377
621,1738,1565
622,1735,1741
623,1721,1909
624,1689,2055
625,1646,2181
626,1592,2283
627,1531,2359
628,1455,2397
629,1378,2407
630,1294,2385
631,1212,2337
632,1132,2257
633,1052,2147
634,979,2017
635,910,1859
636,852,1687
637,810,1511
638,777,1323
639,757,1133
640,745,941
641,752,763
642,774,601
643,800,449
644,849,329
645,903,231
646,966,161
647,1039,123
648,1112,113
649,1188,133
