Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
14,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
15,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
16,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
17,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
18,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
19,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
20,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
21,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
22,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
23,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
24,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
25,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
26,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
27,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
28,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
29,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
30,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
31,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
32,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
33,869,0,0,1,1,0,1,1,0,0,1,0,1,1008,0,0,1,1,1,1,1,1,0,0,0,0
34,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
35,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
36,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
37,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
38,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
39,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
40,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
41,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
42,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
43,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
44,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
45,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
46,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
47,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
48,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
49,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
50,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
51,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
52,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
53,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
54,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
55,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
56,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
57,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
58,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
59,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
60,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
61,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
62,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
63,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
64,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
65,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
66,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
67,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
68,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
69,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
70,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
71,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
72,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
73,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
74,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
75,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
76,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
77,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
78,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
79,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
80,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
81,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
82,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
83,870,0,0,1,1,0,1,1,0,0,1,1,0,1058,0,1,0,0,0,0,1,0,0,0,1,0
84,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
85,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
86,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
87,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
88,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
89,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
90,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
91,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
92,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
93,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
94,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
95,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
96,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
97,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
98,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
99,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
100,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
101,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
102,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
103,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
104,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
105,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
106,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
107,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
108,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
109,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
110,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
111,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
112,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
113,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
114,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
115,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
116,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
117,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
118,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
119,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
120,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
121,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
122,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
123,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
124,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
125,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
126,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
127,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
128,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
129,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
130,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
131,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
132,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
133,883,0,0,1,1,0,1,1,1,0,0,1,1,1109,0,1,0,0,0,1,0,1,0,1,0,1
134,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
135,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
136,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
137,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
138,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
139,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
140,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
141,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
142,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
143,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
144,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
145,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
146,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
147,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
148,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
149,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
150,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
151,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
152,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
153,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
154,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
155,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
156,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
157,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
158,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
159,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
160,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
161,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
162,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
163,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
164,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
165,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
166,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
167,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
168,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
169,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
170,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
171,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
172,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
173,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
174,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
175,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
176,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
177,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
178,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
179,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
180,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
181,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
182,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
183,903,0,0,1,1,1,0,0,0,0,1,1,1,1165,0,1,0,0,1,0,0,0,1,1,0,1
184,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
185,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
186,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
187,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
188,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
189,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
190,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
191,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
192,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
193,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
194,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
195,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
196,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
197,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
198,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
199,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
200,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
201,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
202,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
203,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
204,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
205,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
206,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
207,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
208,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
209,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
210,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
211,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
212,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
213,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
214,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
215,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
216,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
217,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
218,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
219,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
220,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
221,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
222,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
223,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
224,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
225,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
226,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
227,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
228,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
229,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
230,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
231,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
232,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
233,929,0,0,1,1,1,0,1,0,0,0,0,1,1222,0,1,0,0,1,1,0,0,0,1,1,0
234,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
235,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
236,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
237,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
238,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
239,964,0,0,1,1,1,1,0,0,0,1,0,0,1278,0,1,0,0,1,1,1,1,1,1,1,0
