time unit: us, xk_re_o_v[15:0], xk_re_o_v[15], xk_re_o_v[14], xk_re_o_v[13], xk_re_o_v[12], xk_re_o_v[11], xk_re_o_v[10], xk_re_o_v[9], xk_re_o_v[8], xk_re_o_v[7], xk_re_o_v[6], xk_re_o_v[5], xk_re_o_v[4], xk_re_o_v[3], xk_re_o_v[2], xk_re_o_v[1], xk_re_o_v[0], xk_im_o_v[15:0], xk_im_o_v[15], xk_im_o_v[14], xk_im_o_v[13], xk_im_o_v[12], xk_im_o_v[11], xk_im_o_v[10], xk_im_o_v[9], xk_im_o_v[8], xk_im_o_v[7], xk_im_o_v[6], xk_im_o_v[5], xk_im_o_v[4], xk_im_o_v[3], xk_im_o_v[2], xk_im_o_v[1], xk_im_o_v[0], r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
20, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58C, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 145, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1,
21, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5D8, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1CD, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1,
22, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 618, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 263, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1,
23, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 657, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 1, 313, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1,
24, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68D, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 3CF, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1,
25, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6AE, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 487, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1,
26, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6C7, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 547, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1,
27, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6D4, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 605, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1,
28, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6CD, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1, 6B3, 0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 1,
29, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6BB, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 757, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1,
30, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69C, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 7E9, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1,
31, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66F, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 865, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1,
32, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 637, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 1, 1, 8C9, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1,
33, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5F9, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 911, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1,
34, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5AF, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 939, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1,
35, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 560, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 941, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1,
36, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50C, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 929, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,
37, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4B6, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 8F1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1,
