Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
65, 1553, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1289, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1,
66, 1522, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1233, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1,
67, 1484, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1178, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0,
68, 1442, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1123, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1,
69, 1392, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 1070, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0,
70, 1339, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1021, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1,
71, 1283, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 976, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0,
72, 1225, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 937, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1,
73, 1170, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 903, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1,
74, 1117, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 879, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1,
75, 1064, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 862, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0,
76, 1015, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 853, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1,
77, 974, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 852, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0,
78, 940, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 0, 861, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1,
79, 910, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 0, 878, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0,
80, 887, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 903, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1,
