Groups:,,,,,,,,,,,,,,,,,,,,,,,,,,
adc_in_v[11:0] =, adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], ,,,,,,,,,,,,,
adc_in_i[11:0] =, adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0], ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,,,,,,,,,,,,,,,,,,,,,,
time unit: us, adc_in_v[11:0], adc_in_v[11], adc_in_v[10], adc_in_v[9], adc_in_v[8], adc_in_v[7], adc_in_v[6], adc_in_v[5], adc_in_v[4], adc_in_v[3], adc_in_v[2], adc_in_v[1], adc_in_v[0], adc_in_i[11:0], adc_in_i[11], adc_in_i[10], adc_in_i[9], adc_in_i[8], adc_in_i[7], adc_in_i[6], adc_in_i[5], adc_in_i[4], adc_in_i[3], adc_in_i[2], adc_in_i[1], adc_in_i[0]
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X
62,1406,0,1,0,1,0,1,1,1,1,1,1,0,1321,0,1,0,1,0,0,1,0,1,0,0,1
63,1380,0,1,0,1,0,1,1,0,0,1,0,0,1379,0,1,0,1,0,1,1,0,0,0,1,1
64,1351,0,1,0,1,0,1,0,0,0,1,1,1,1433,0,1,0,1,1,0,0,1,1,0,0,1
65,1317,0,1,0,1,0,0,1,0,0,1,0,1,1481,0,1,0,1,1,1,0,0,1,0,0,1
66,1280,0,1,0,1,0,0,0,0,0,0,0,0,1521,0,1,0,1,1,1,1,1,0,0,0,1
67,1245,0,1,0,0,1,1,0,1,1,1,0,1,1555,0,1,1,0,0,0,0,1,0,0,1,1
68,1197,0,1,0,0,1,0,1,0,1,1,0,1,1565,0,1,1,0,0,0,0,1,1,1,0,1
69,1167,0,1,0,0,1,0,0,0,1,1,1,1,1585,0,1,1,0,0,0,1,1,0,0,0,1
70,1134,0,1,0,0,0,1,1,0,1,1,1,0,1589,0,1,1,0,0,0,1,1,0,1,0,1
71,1106,0,1,0,0,0,1,0,1,0,0,1,0,1585,0,1,1,0,0,0,1,1,0,0,0,1
72,1078,0,1,0,0,0,0,1,1,0,1,1,0,1567,0,1,1,0,0,0,0,1,1,1,1,1
73,1057,0,1,0,0,0,0,1,0,0,0,0,1,1543,0,1,1,0,0,0,0,0,0,1,1,1
74,1039,0,1,0,0,0,0,0,0,1,1,1,1,1505,0,1,0,1,1,1,1,0,0,0,0,1
75,1027,0,1,0,0,0,0,0,0,0,0,1,1,1459,0,1,0,1,1,0,1,1,0,0,1,1
76,1021,0,0,1,1,1,1,1,1,1,1,0,1,1409,0,1,0,1,1,0,0,0,0,0,0,1
77,1027,0,1,0,0,0,0,0,0,0,0,1,1,1359,0,1,0,1,0,1,0,0,1,1,1,1
78,1035,0,1,0,0,0,0,0,0,1,0,1,1,1299,0,1,0,1,0,0,0,1,0,0,1,1
79,1055,0,1,0,0,0,0,0,1,1,1,1,1,1245,0,1,0,0,1,1,0,1,1,1,0,1
80,1072,0,1,0,0,0,0,1,1,0,0,0,0,1183,0,1,0,0,1,0,0,1,1,1,1,1
81,1094,0,1,0,0,0,1,0,0,0,1,1,0,1121,0,1,0,0,0,1,1,0,0,0,0,1
82,1124,0,1,0,0,0,1,1,0,0,1,0,0,1071,0,1,0,0,0,0,1,0,1,1,1,1
83,1157,0,1,0,0,1,0,0,0,0,1,0,1,1021,0,0,1,1,1,1,1,1,1,1,0,1
84,1192,0,1,0,0,1,0,1,0,1,0,0,0,979,0,0,1,1,1,1,0,1,0,0,1,1
85,1229,0,1,0,0,1,1,0,0,1,1,0,1,947,0,0,1,1,1,0,1,1,0,0,1,1
86,1267,0,1,0,0,1,1,1,1,0,0,1,1,923,0,0,1,1,1,0,0,1,1,0,1,1
87,1303,0,1,0,1,0,0,0,1,0,1,1,1,905,0,0,1,1,1,0,0,0,1,0,0,1
88,1338,0,1,0,1,0,0,1,1,1,0,1,0,901,0,0,1,1,1,0,0,0,0,1,0,1
89,1368,0,1,0,1,0,1,0,1,1,0,0,0,905,0,0,1,1,1,0,0,0,1,0,0,1
90,1397,0,1,0,1,0,1,1,1,0,1,0,1,921,0,0,1,1,1,0,0,1,1,0,0,1
91,1418,0,1,0,1,1,0,0,0,1,0,1,0,943,0,0,1,1,1,0,1,0,1,1,1,1
92,1437,0,1,0,1,1,0,0,1,1,1,0,1,979,0,0,1,1,1,1,0,1,0,0,1,1
93,1450,0,1,0,1,1,0,1,0,1,0,1,0,1023,0,0,1,1,1,1,1,1,1,1,1,1
94,1459,0,1,0,1,1,0,1,1,0,0,1,1,1075,0,1,0,0,0,0,1,1,0,0,1,1
95,1457,0,1,0,1,1,0,1,1,0,0,0,1,1127,0,1,0,0,0,1,1,0,0,1,1,1
96,1448,0,1,0,1,1,0,1,0,1,0,0,0,1183,0,1,0,0,1,0,0,1,1,1,1,1
97,1433,0,1,0,1,1,0,0,1,1,0,0,1,1241,0,1,0,0,1,1,0,1,1,0,0,1
98,1415,0,1,0,1,1,0,0,0,0,1,1,1,1303,0,1,0,1,0,0,0,1,0,1,1,1
99,1390,0,1,0,1,0,1,1,0,1,1,1,0,1359,0,1,0,1,0,1,0,0,1,1,1,1
100,1360,0,1,0,1,0,1,0,1,0,0,0,0,1413,0,1,0,1,1,0,0,0,0,1,0,1
101,1330,0,1,0,1,0,0,1,1,0,0,1,0,1465,0,1,0,1,1,0,1,1,1,0,0,1
102,1293,0,1,0,1,0,0,0,0,1,1,0,1,1507,0,1,0,1,1,1,1,0,0,0,1,1
103,1255,0,1,0,0,1,1,1,0,0,1,1,1,1543,0,1,1,0,0,0,0,0,0,1,1,1
104,1217,0,1,0,0,1,1,0,0,0,0,0,1,1567,0,1,1,0,0,0,0,1,1,1,1,1
105,1180,0,1,0,0,1,0,0,1,1,1,0,0,1583,0,1,1,0,0,0,1,0,1,1,1,1
106,1146,0,1,0,0,0,1,1,1,1,0,1,0,1593,0,1,1,0,0,0,1,1,1,0,0,1
107,1114,0,1,0,0,0,1,0,1,1,0,1,0,1587,0,1,1,0,0,0,1,1,0,0,1,1
108,1088,0,1,0,0,0,1,0,0,0,0,0,0,1577,0,1,1,0,0,0,1,0,1,0,0,1
109,1064,0,1,0,0,0,0,1,0,1,0,0,0,1553,0,1,1,0,0,0,0,1,0,0,0,1
110,1044,0,1,0,0,0,0,0,1,0,1,0,0,1519,0,1,0,1,1,1,1,0,1,1,1,1
111,1032,0,1,0,0,0,0,0,0,1,0,0,0,1479,0,1,0,1,1,1,0,0,0,1,1,1
112,1033,0,1,0,0,0,0,0,0,1,0,0,1,1441,0,1,0,1,1,0,1,0,0,0,0,1
113,1026,0,1,0,0,0,0,0,0,0,0,1,0,1381,0,1,0,1,0,1,1,0,0,1,0,1
114,1032,0,1,0,0,0,0,0,0,1,0,0,0,1323,0,1,0,1,0,0,1,0,1,0,1,1
115,1044,0,1,0,0,0,0,0,1,0,1,0,0,1265,0,1,0,0,1,1,1,1,0,0,0,1
116,1062,0,1,0,0,0,0,1,0,0,1,1,0,1203,0,1,0,0,1,0,1,1,0,0,1,1
117,1084,0,1,0,0,0,0,1,1,1,1,0,0,1143,0,1,0,0,0,1,1,1,0,1,1,1
118,1112,0,1,0,0,0,1,0,1,1,0,0,0,1089,0,1,0,0,0,1,0,0,0,0,0,1
119,1145,0,1,0,0,0,1,1,1,1,0,0,1,1041,0,1,0,0,0,0,0,1,0,0,0,1
120,1179,0,1,0,0,1,0,0,1,1,0,1,1,995,0,0,1,1,1,1,1,0,0,0,1,1
121,1216,0,1,0,0,1,1,0,0,0,0,0,0,957,0,0,1,1,1,0,1,1,1,1,0,1
122,1253,0,1,0,0,1,1,1,0,0,1,0,1,929,0,0,1,1,1,0,1,0,0,0,0,1
123,1287,0,1,0,1,0,0,0,0,0,1,1,1,907,0,0,1,1,1,0,0,0,1,0,1,1
124,1326,0,1,0,1,0,0,1,0,1,1,1,0,901,0,0,1,1,1,0,0,0,0,1,0,1
125,1360,0,1,0,1,0,1,0,1,0,0,0,0,907,0,0,1,1,1,0,0,0,1,0,1,1
126,1384,0,1,0,1,0,1,1,0,1,0,0,0,913,0,0,1,1,1,0,0,1,0,0,0,1
127,1410,0,1,0,1,1,0,0,0,0,0,1,0,933,0,0,1,1,1,0,1,0,0,1,0,1
128,1431,0,1,0,1,1,0,0,1,0,1,1,1,967,0,0,1,1,1,1,0,0,0,1,1,1
129,1445,0,1,0,1,1,0,1,0,0,1,0,1,1005,0,0,1,1,1,1,1,0,1,1,0,1
130,1455,0,1,0,1,1,0,1,0,1,1,1,1,1053,0,1,0,0,0,0,0,1,1,1,0,1
131,1462,0,1,0,1,1,0,1,1,0,1,1,0,1111,0,1,0,0,0,1,0,1,0,1,1,1
132,1452,0,1,0,1,1,0,1,0,1,1,0,0,1163,0,1,0,0,1,0,0,0,1,0,1,1
133,1438,0,1,0,1,1,0,0,1,1,1,1,0,1219,0,1,0,0,1,1,0,0,0,0,1,1
134,1421,0,1,0,1,1,0,0,0,1,1,0,1,1279,0,1,0,0,1,1,1,1,1,1,1,1
135,1399,0,1,0,1,0,1,1,1,0,1,1,1,1339,0,1,0,1,0,0,1,1,1,0,1,1
136,1373,0,1,0,1,0,1,0,1,1,1,0,1,1395,0,1,0,1,0,1,1,1,0,0,1,1
137,1344,0,1,0,1,0,1,0,0,0,0,0,0,1449,0,1,0,1,1,0,1,0,1,0,0,1
138,1309,0,1,0,1,0,0,0,1,1,1,0,1,1495,0,1,0,1,1,1,0,1,0,1,1,1
139,1267,0,1,0,0,1,1,1,1,0,0,1,1,1529,0,1,0,1,1,1,1,1,1,0,0,1
140,1231,0,1,0,0,1,1,0,0,1,1,1,1,1559,0,1,1,0,0,0,0,1,0,1,1,1
141,1194,0,1,0,0,1,0,1,0,1,0,1,0,1579,0,1,1,0,0,0,1,0,1,0,1,1
142,1159,0,1,0,0,1,0,0,0,0,1,1,1,1591,0,1,1,0,0,0,1,1,0,1,1,1
143,1126,0,1,0,0,0,1,1,0,0,1,1,0,1591,0,1,1,0,0,0,1,1,0,1,1,1
144,1100,0,1,0,0,0,1,0,0,1,1,0,0,1585,0,1,1,0,0,0,1,1,0,0,0,1
145,1072,0,1,0,0,0,0,1,1,0,0,0,0,1563,0,1,1,0,0,0,0,1,1,0,1,1
146,1051,0,1,0,0,0,0,0,1,1,0,1,1,1533,0,1,0,1,1,1,1,1,1,1,0,1
147,1035,0,1,0,0,0,0,0,0,1,0,1,1,1493,0,1,0,1,1,1,0,1,0,1,0,1
148,1025,0,1,0,0,0,0,0,0,0,0,0,1,1449,0,1,0,1,1,0,1,0,1,0,0,1
149,1022,0,0,1,1,1,1,1,1,1,1,1,0,1397,0,1,0,1,0,1,1,1,0,1,0,1
150,1029,0,1,0,0,0,0,0,0,0,1,0,1,1345,0,1,0,1,0,1,0,0,0,0,0,1
151,1039,0,1,0,0,0,0,0,0,1,1,1,1,1285,0,1,0,1,0,0,0,0,0,1,0,1
152,1055,0,1,0,0,0,0,0,1,1,1,1,1,1225,0,1,0,0,1,1,0,0,1,0,0,1
153,1078,0,1,0,0,0,0,1,1,0,1,1,0,1169,0,1,0,0,1,0,0,1,0,0,0,1
154,1101,0,1,0,0,0,1,0,0,1,1,0,1,1107,0,1,0,0,0,1,0,1,0,0,1,1
155,1129,0,1,0,0,0,1,1,0,1,0,0,1,1053,0,1,0,0,0,0,0,1,1,1,0,1
156,1171,0,1,0,0,1,0,0,1,0,0,1,1,1015,0,0,1,1,1,1,1,1,0,1,1,1
157,1202,0,1,0,0,1,0,1,1,0,0,1,0,971,0,0,1,1,1,1,0,0,1,0,1,1
158,1240,0,1,0,0,1,1,0,1,1,0,0,0,939,0,0,1,1,1,0,1,0,1,0,1,1
159,1278,0,1,0,0,1,1,1,1,1,1,1,0,919,0,0,1,1,1,0,0,1,0,1,1,1
160,1313,0,1,0,1,0,0,1,0,0,0,0,1,905,0,0,1,1,1,0,0,0,1,0,0,1
161,1348,0,1,0,1,0,1,0,0,0,1,0,0,903,0,0,1,1,1,0,0,0,0,1,1,1
162,1377,0,1,0,1,0,1,1,0,0,0,0,1,911,0,0,1,1,1,0,0,0,1,1,1,1
163,1403,0,1,0,1,0,1,1,1,1,0,1,1,927,0,0,1,1,1,0,0,1,1,1,1,1
164,1425,0,1,0,1,1,0,0,1,0,0,0,1,953,0,0,1,1,1,0,1,1,1,0,0,1
165,1442,0,1,0,1,1,0,1,0,0,0,1,0,991,0,0,1,1,1,1,0,1,1,1,1,1
