Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,
result[31:0] =, result[31], result[30], result[29], result[28], result[27], result[26], result[25], result[24], result[23], result[22], result[21], result[20], result[19], result[18], result[17], result[16], result[15], result[14], result[13], result[12], result[11], result[10], result[9], result[8], result[7], result[6], result[5], result[4], result[3], result[2], result[1], result[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], result[31:0], result[31], result[30], result[29], result[28], result[27], result[26], result[25], result[24], result[23], result[22], result[21], result[20], result[19], result[18], result[17], result[16], result[15], result[14], result[13], result[12], result[11], result[10], result[9], result[8], result[7], result[6], result[5], result[4], result[3], result[2], result[1], result[0],
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
33, 1397, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1575, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
34, 1354, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1583, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
35, 1308, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1579, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
36, 1258, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1565, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
37, 1208, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1543, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
38, 1163, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1515, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
39, 1116, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1473, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
40, 1071, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1421, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
41, 1038, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1373, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
42, 1006, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1317, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
43, 980, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1255, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
44, 964, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1195, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
45, 957, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1139, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
46, 955, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1081, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
47, 966, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1031, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
48, 983, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 985, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
49, 1008, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 949, 0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
50, 1041, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 921, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
51, 1082, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 905, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
52, 1120, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 893, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 38400000, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
