Groups:
r_adc_data_v[11:0] =, r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], ,
r_adc_data_i[11:0] =, r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], ,

Data:
time unit: us, r_adc_data_v[11:0], r_adc_data_v[11], r_adc_data_v[10], r_adc_data_v[9], r_adc_data_v[8], r_adc_data_v[7], r_adc_data_v[6], r_adc_data_v[5], r_adc_data_v[4], r_adc_data_v[3], r_adc_data_v[2], r_adc_data_v[1], r_adc_data_v[0], r_adc_data_i[11:0], r_adc_data_i[11], r_adc_data_i[10], r_adc_data_i[9], r_adc_data_i[8], r_adc_data_i[7], r_adc_data_i[6], r_adc_data_i[5], r_adc_data_i[4], r_adc_data_i[3], r_adc_data_i[2], r_adc_data_i[1], r_adc_data_i[0], v_square, i_square,
0, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X,
14014, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14015, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14016, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14017, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14018, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14019, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14020, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14021, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14022, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14023, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14024, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14025, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14026, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14027, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14028, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14029, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14030, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14031, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14032, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14033, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14034, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14035, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14036, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14037, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14038, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14039, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14040, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14041, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14042, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
14043, 1334, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1433, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1,
